id,Sample Code,soilSource,soilRange,soilSite,seedRange,combo,patchType,seedSite,Sample Name,feature count,shannon_r1000,shannon
nat_wash_F113,MF113,PSF Experiment Root Wash,Native,CAN,Native,natSoil_natSeed,nonYST,CAN,11 CAN CAN,25773,6.432888389,6.474628148
nat_wash_F115,MF115,PSF Experiment Root Wash,Native,CAN,Invaded,natSoil_invSeed,nonYST,TRI,363 TRI CAN,22809,6.242756171,6.310599428
nat_wash_F116,MF116,PSF Experiment Root Wash,Native,SAZ,Invaded,natSoil_invSeed,nonYST,LEB,396 LEB SAZ,28675,6.445446496,6.538937561
nat_wash_F118,MF118,PSF Experiment Root Wash,Native,CAZ,Invaded,natSoil_invSeed,nonYST,LEB,9 LEB CAZ,13311,5.667758443,5.62674454
nat_wash_F119,MF119,PSF Experiment Root Wash,Native,CAZ,Native,natSoil_natSeed,nonYST,CAZ,18 CAZ CAZ,17843,5.983154978,6.020683366
nat_wash_F120,MF120,PSF Experiment Root Wash,Native,GRA,Native,natSoil_natSeed,nonYST,CAN,12 CAN GRA,16943,5.786282731,5.843416983
nat_wash_F121,MF121,PSF Experiment Root Wash,Native,SAZ,Invaded,natSoil_invSeed,nonYST,LEB,78 LEB SAZ,11352,4.767459543,4.899829658
nat_wash_F122,MF122,PSF Experiment Root Wash,Native,CAN,Invaded,natSoil_invSeed,nonYST,LEB,573 LEB CAN,13991,5.118802482,5.09826409
nat_wash_F123,MF123,PSF Experiment Root Wash,Native,SAZ,Invaded,natSoil_invSeed,nonYST,TRI,8 TRI SAZ,18263,5.439833561,5.41494792
nat_wash_F124,MF124,PSF Experiment Root Wash,Native,GRA,Native,natSoil_natSeed,nonYST,CAZ,19 CAZ GRA,12355,4.980984446,5.040543105
nat_wash_F126,MF126,PSF Experiment Root Wash,Native,GRA,Invaded,natSoil_invSeed,nonYST,RB,3 RB GRA,2249,2.096511464,
nat_wash_F127,MF127,PSF Experiment Root Wash,Native,CAN,Native,natSoil_natSeed,nonYST,GRA,22 GRA CAN ,40988,6.921766306,6.946390988
nat_wash_F128,MF128,PSF Experiment Root Wash,Native,GRA,Native,natSoil_natSeed,nonYST,SAZ,294 SAZ GRA,8717,5.186330976,5.210426962
nat_wash_F129,MF129,PSF Experiment Root Wash,Native,SAZ,Native,natSoil_natSeed,nonYST,SAZ,304 SAZ SAZ,12248,5.198282477,5.231850467
nat_wash_F131,MF131,PSF Experiment Root Wash,Native,CAN,Invaded,natSoil_invSeed,nonYST,RB,803 RB CAN,28078,6.411007012,6.451938642
nat_wash_F132,MF132,PSF Experiment Root Wash,Native,SAZ,Invaded,natSoil_invSeed,nonYST,LEB,784 LEB SAZ,11227,5.071915488,5.065612352
nat_wash_F133,MF133,PSF Experiment Root Wash,Native,CAZ,Invaded,natSoil_invSeed,nonYST,RB,300 RB CAZ,15342,6.152300472,6.160442892
nat_wash_F134,MF134,PSF Experiment Root Wash,Native,CAN,Invaded,natSoil_invSeed,nonYST,LEB,797 LEB CAN,34042,6.573603705,6.601197782
nat_wash_F136,MF136,PSF Experiment Root Wash,Native,CAZ,Native,natSoil_natSeed,nonYST,GRA,290 GRA CAZ,6590,4.453730301,4.484074477
nat_wash_F137,MF137,PSF Experiment Root Wash,Native,GRA,Invaded,natSoil_invSeed,nonYST,LEB,804 LEB GRA,3850,3.844780475,3.865903595
nat_wash_F138,MF138,PSF Experiment Root Wash,Native,CAN,Invaded,natSoil_invSeed,nonYST,GIL,772 GIL CAN,41978,6.500818286,6.585781495
nat_wash_F144,MF144,PSF Experiment Root Wash,Native,CAN,Invaded,natSoil_invSeed,nonYST,RB,305 RB CAN,928,,
nat_wash_F145,MF145,PSF Experiment Root Wash,Native,CAN,Invaded,natSoil_invSeed,nonYST,GIL,307 GIL CAN,57670,7.192581607,7.287351753
nat_wash_F146,MF146,PSF Experiment Root Wash,Native,CAZ,Invaded,natSoil_invSeed,nonYST,TRI,579 TRI CAZ,13930,5.585411083,5.630723762
nat_wash_F147,MF147,PSF Experiment Root Wash,Native,CAN,Invaded,natSoil_invSeed,nonYST,LEB,280 LEB CAN,16943,5.73072484,5.750979793
nat_wash_F148,MF148,PSF Experiment Root Wash,Native,SAZ,Native,natSoil_natSeed,nonYST,CAZ,281 CAZ SAZ,13,,
nat_wash_F149,MF149,PSF Experiment Root Wash,Native,GRA,Native,natSoil_natSeed,nonYST,CAN,373 CAN GRA,41012,6.622272447,6.686804099
nat_wash_F151,MF151,PSF Experiment Root Wash,Native,GRA,Invaded,natSoil_invSeed,nonYST,TRI,768 TRI GRA,1,,
nat_wash_F152,MF152,PSF Experiment Root Wash,Native,CAZ,Invaded,natSoil_invSeed,nonYST,GIL,60 GIL CAZ,12081,5.349883818,5.381550773
nat_wash_F153,MF153,PSF Experiment Root Wash,Native,CAZ,Invaded,natSoil_invSeed,nonYST,RB,62 RB CZ,18888,6.079160838,6.162793462
nat_wash_F154,MF154,PSF Experiment Root Wash,Native,CAZ,Invaded,natSoil_invSeed,nonYST,GIL,773 GIL CAZ,6529,4.777552216,4.841674386
nat_wash_F155,MF155,PSF Experiment Root Wash,Native,SAZ,Native,natSoil_natSeed,nonYST,CAN,565 CAN SAZ,7838,4.638543758,4.525906454
nat_wash_F156,MF156,PSF Experiment Root Wash,Native,CAN,Invaded,natSoil_invSeed,nonYST,TRI,291 TRI CAN,0,,
nat_wash_F157,MF157,PSF Experiment Root Wash,Native,SAZ,Invaded,natSoil_invSeed,nonYST,RB,289 RB SAZ,2214,1.633430142,
nat_wash_F159,MF159,PSF Experiment Root Wash,Native,CAN,Native,natSoil_natSeed,nonYST,CAN,441 CAN CAN,4314,3.808636624,3.824540202
nat_wash_F160,MF160,PSF Experiment Root Wash,Native,CAZ,Invaded,natSoil_invSeed,nonYST,TRI,370 TRI CAZ,9,,
nat_wash_F161,MF161,PSF Experiment Root Wash,Native,CAZ,Native,natSoil_natSeed,nonYST,CAN,310 CAN CAZ,12018,5.408573247,5.455160193
nat_wash_F162,MF162,PSF Experiment Root Wash,Native,CAZ,Invaded,natSoil_invSeed,nonYST,LEB,785 LEB CAZ,18179,5.787725698,5.781308186
